star_id,name,brightness_apparent,stellar_classification,constellation,galaxy_id
0,Alpheratz,2.07,B9p,Andromeda,43
1,Mirach,2.07,M0IIIvar,Andromeda,43
2,γ1 And,2.1,K3IIb,Andromeda,43
3,δ And,3.27,K3III...,Andromeda,43
4,Andromeda Galaxy,,,Andromeda,43
5,51 And,3.59,K3III,Andromeda,43
6,ο And,3.62,B6pv SB,Andromeda,43
7,λ And,3.81,G8III-IV,Andromeda,43
8,μ And,3.86,A5V,Andromeda,43
9,ζ And,4.08,K1II,Andromeda,43
10,υ And,4.1,F8V,Andromeda,43
11,κ And,4.15,B9IVn,Andromeda,43
12,φ And,4.26,B7III,Andromeda,43
13,ι And,4.29,B8V,Andromeda,43
14,π And,4.34,B5V,Andromeda,43
15,ε And,4.34,G5III...,Andromeda,43
16,η And,4.4,G8III-IV,Andromeda,43
17,σ And,4.51,A2V,Andromeda,43
18,ν And,4.53,B5V SB,Andromeda,43
19,7 And,4.53,F0V,Andromeda,43
20,θ And,4.61,A2V,Andromeda,43
21,3 And,4.64,K0III,Andromeda,43
22,65 And,4.73,K4III,Andromeda,43
23,58 And,4.78,A5IV-V,Andromeda,43
24,8 And,4.82,M2III,Andromeda,43
25,ω And,4.83,F5IV,Andromeda,43
26,γ2 And,4.84,B8V,Andromeda,43
27,60 And,4.84,K4III,Andromeda,43
28,ξ And,4.87,K0III-IV,Andromeda,43
29,τ And,4.96,B8III,Andromeda,43
30,41 H. And,4.96,G2V,Andromeda,43
31,ψ And,4.97,G5Ib,Andromeda,43
32,22 And,5.01,F2II,Andromeda,43
33,χ And,5.01,G8III...,Andromeda,43
34,41 And,5.04,A3m,Andromeda,43
35,2 And,5.09,A3Vn,Andromeda,43
36,V428 And,5.14,K5III,Andromeda,43
37,ρ And,5.16,F5III,Andromeda,43
38,HD 2421,5.18,A2Vs,Andromeda,43
39,64 And,5.19,G8III,Andromeda,43
40,GN And,5.2,A7III,Andromeda,43
41,14 And,5.22,K0III,Andromeda,43
42,49 And,5.27,K0III,Andromeda,43
43,32 And,5.3,G8III,Andromeda,43
44,4 And,5.3,K5III,Andromeda,43
45,6 Per,5.31,G8III:var,Andromeda,43
46,62 And,5.31,A1V,Andromeda,43
47,18 And,5.35,B9V,Andromeda,43
48,55 And,5.42,K1III,Andromeda,43
49,11 And,5.44,K0III,Andromeda,43
50,unnamed50,5.45,G5III,Andromeda,43
51,36 And,5.46,K1IV,Andromeda,43
52,V340 And,5.55,A1III,Andromeda,43
53,PZ And,5.57,B9p Si,Andromeda,43
54,47 And,5.6,A1m,Andromeda,43
55,unnamed55,5.63,A9IV:,Andromeda,43
56,44 And,5.67,F8V,Andromeda,43
57,5 And,5.68,F5V,Andromeda,43
58,HD 5788,5.69,A2Vn,Andromeda,43
59,56 And,5.69,G8III...,Andromeda,43
60,23 And,5.71,F0IV,Andromeda,43
61,HD 16028,5.72,K4III,Andromeda,43
62,V388 And,5.75,B9III,Andromeda,43
63,12 And,5.77,F5V,Andromeda,43
64,unnamed64,5.79,K5III,Andromeda,43
65,45 And,5.8,B7III-IV,Andromeda,43
66,HD 14622,5.81,F0III-IV,Andromeda,43
67,10 And,5.81,M0III,Andromeda,43
68,HD 222109,5.81,B8V,Andromeda,43
69,HD 224635,5.81,F8,Andromeda,43
70,OU And,5.86,G1IIIe,Andromeda,43
71,unnamed71,5.88,A0IV,Andromeda,43
72,HD 2767,5.88,K1III...,Andromeda,43
73,HD 1606,5.89,B7V,Andromeda,43
74,unnamed74,5.89,K5III,Andromeda,43
75,KK And,5.9,B8Vp(Si),Andromeda,43
76,unnamed76,5.91,F5V,Andromeda,43
77,6 And,5.91,F5V,Andromeda,43
78,unnamed78,5.94,K0III,Andromeda,43
79,39 And,5.95,A5m,Andromeda,43
80,unnamed80,5.98,F7V,Andromeda,43
81,AN And,5.98,A7m,Andromeda,43
82,HD 5608,5.99,K0,Andromeda,43
83,unnamed83,6.01,G8Ib,Andromeda,43
84,unnamed84,6.01,F8III,Andromeda,43
85,unnamed85,6.03,B9.5IIIMNp.,Andromeda,43
86,unnamed86,6.05,F5V,Andromeda,43
87,HD 3883,6.06,A7m,Andromeda,43
88,V439 And,6.07,K0V,Andromeda,43
89,unnamed89,6.07,K3III:,Andromeda,43
90,unnamed90,6.07,G9III,Andromeda,43
91,HD 223229,6.08,B3IV,Andromeda,43
92,unnamed92,6.09,G2V,Andromeda,43
93,59 And A,6.09,B9V,Andromeda,43
94,26 And,6.1,B8V,Andromeda,43
95,unnamed95,6.1,K2III,Andromeda,43
96,HD 225218,6.11,B9III,Andromeda,43
97,unnamed97,6.11,K5,Andromeda,43
98,HD 1185,6.12,A2V,Andromeda,43
99,unnamed99,6.12,K0III,Andromeda,43
100,GO And,6.13,A0p...,Andromeda,43
101,unnamed101,6.13,M1III,Andromeda,43
102,66 And,6.16,F4V,Andromeda,43
103,unnamed103,6.17,B5V,Andromeda,43
104,unnamed104,6.18,K4III,Andromeda,43
105,unnamed105,6.18,K2III,Andromeda,43
106,HD 221776,6.18,K5,Andromeda,43
107,unnamed107,6.19,F6III,Andromeda,43
108,HD 221246,6.19,K5III,Andromeda,43
109,OP And,6.2,K1III:,Andromeda,43
110,unnamed110,6.21,F8IV,Andromeda,43
111,unnamed111,6.21,A4V,Andromeda,43
112,unnamed112,6.22,A1V,Andromeda,43
113,HD 895,6.24,G0III,Andromeda,43
114,unnamed114,6.24,F1V,Andromeda,43
115,unnamed115,6.25,B9IIIp Mn,Andromeda,43
116,unnamed116,6.25,K2,Andromeda,43
117,HD 220105,6.25,A5Vn,Andromeda,43
118,unnamed118,6.25,G8II,Andromeda,43
119,HD 2942,6.26,G8II,Andromeda,43
120,unnamed120,6.27,F7IVsvar,Andromeda,43
121,unnamed121,6.28,G5III,Andromeda,43
122,unnamed122,6.28,G8IV,Andromeda,43
123,unnamed123,6.28,K0,Andromeda,43
124,unnamed124,6.29,K0,Andromeda,43
125,unnamed125,6.29,B9.5V,Andromeda,43
126,unnamed126,6.29,K1III,Andromeda,43
127,unnamed127,6.31,K2,Andromeda,43
128,unnamed128,6.32,K5III,Andromeda,43
129,unnamed129,6.32,A0V,Andromeda,43
130,unnamed130,6.33,K2IV,Andromeda,43
131,unnamed131,6.33,F6V,Andromeda,43
132,unnamed132,6.34,K5,Andromeda,43
133,HD 8673,6.34,F7V,Andromeda,43
134,unnamed134,6.35,A1Vn,Andromeda,43
135,unnamed135,6.35,K1III,Andromeda,43
136,unnamed136,6.35,F6V,Andromeda,43
137,CG And,6.36,B9p SiEu,Andromeda,43
138,HD 16004,6.36,B9MNp...,Andromeda,43
139,unnamed139,6.37,G9III-IV,Andromeda,43
140,LN And,6.37,B2V,Andromeda,43
141,V385 And,6.37,M0,Andromeda,43
142,GY And,6.38,B9Vp (Cr-Eu),Andromeda,43
143,unnamed143,6.38,G8III,Andromeda,43
144,unnamed144,6.38,K0,Andromeda,43
145,unnamed145,6.39,K1III,Andromeda,43
146,V529 And,6.42,Am...,Andromeda,43
147,unnamed147,6.43,K0,Andromeda,43
148,HD 222641,6.43,K5III,Andromeda,43
149,HD 7853,6.44,A5m,Andromeda,43
150,unnamed150,6.44,F4V,Andromeda,43
151,unnamed151,6.44,K0IV,Andromeda,43
152,HD 6114,6.46,A9V,Andromeda,43
153,unnamed153,6.48,K0,Andromeda,43
154,ET And,6.48,B9Vp(Si),Andromeda,43
155,HD 222399,6.49,F2IV,Andromeda,43
156,PY And,6.5,B8IIImnp...,Andromeda,43
157,unnamed157,6.5,K0,Andromeda,43
158,59 And B,6.82,A1Vn,Andromeda,43
159,HD 222155,7.1,G2V,Andromeda,43
160,HD 16175,7.28,G0,Andromeda,43
161,R And,7.39,S6.5IIIeZr6Ti2,Andromeda,43
162,HD 1605,7.52,K1IV,Andromeda,43
163,HD 13931,7.52,G0,Andromeda,43
164,HD 5583,7.6,K0,Andromeda,43
165,RW And,7.9,"M5e-M10e(S6,2e)",Andromeda,43
166,Groombridge 34,8.01,M6Ve + M1Ve,Andromeda,43
167,HD 15082,8.3,A5,Andromeda,43
168,RU And,9.9,M5e-M6e,Andromeda,43
169,Y And,10.39,M3-4.5e,Andromeda,43
170,Z And,10.53,M2III + B1eq,Andromeda,43
171,HAT-P-6,10.54,F,Andromeda,43
172,HAT-P-16,10.8,F8,Andromeda,43
173,HAT-P-32,11.29,F/G,Andromeda,43
174,WASP-1,11.79,F7V,Andromeda,43
175,Ross 248,12.29,M6e,Andromeda,43
176,HAT-P-19,12.9,K,Andromeda,43
177,HAT-P-28,13.03,G3,Andromeda,43
178,HAT-P-53,13.73,,Andromeda,43
179,S And,,Ia,Andromeda,43
180,α Ant,4.28,K4III,Antlia,43
181,ε Ant,4.51,K3III,Antlia,43
182,ι Ant,4.6,K0III,Antlia,43
183,θ Ant,4.78,A7V+...,Antlia,43
184,η Ant,5.23,A8IV,Antlia,43
185,HD 90132,5.34,A8V,Antlia,43
186,HD 96146,5.43,A0V,Antlia,43
187,HD 82205,5.49,K2IIICNII,Antlia,43
188,U Ant,5.5,"C6,3(N0)",Antlia,43
189,HR 4049,5.52,B9.5Ib/II,Antlia,43
190,δ Ant A,5.56,B9/B9.5V,Antlia,43
191,HD 93905,5.61,A1V,Antlia,43
192,HD 83380,5.62,K1III,Antlia,43
193,HD 92845,5.63,A0V,Antlia,43
194,HD 83332,5.68,K0III,Antlia,43
195,ζ1 Ant B,5.75,A0,Antlia,43
196,HD 86267,5.83,K1III,Antlia,43
197,HD 82514,5.86,K3III,Antlia,43
198,ζ2 Ant,5.91,A9IV,Antlia,43
199,HD 88809,5.91,K1III,Antlia,43
200,HD 85206,5.95,K2III,Antlia,43
201,HD 83441,5.96,K2III,Antlia,43
202,HD 88218,6.14,G1V,Antlia,43
203,HD 82165,6.15,A6V,Antlia,43
204,HD 89015,6.17,K0III,Antlia,43
205,ζ1 Ant A,6.18,,Antlia,43
206,HD 90071,6.25,A9IV,Antlia,43
207,HD 87606,6.27,K1III,Antlia,43
208,HD 85725,6.28,G1V,Antlia,43
209,HD 88522,6.28,A0V,Antlia,43
210,HD 89442,6.31,K2/K3III,Antlia,43
211,BF Ant,6.32,A4V,Antlia,43
212,HD 88836,6.33,G8III,Antlia,43
213,HD 88013,6.34,K0III,Antlia,43
214,HD 85296,6.36,K0III,Antlia,43
215,HD 92589,6.36,G8/K0III+..,Antlia,43
216,HD 88742,6.38,G0V,Antlia,43
217,HD 84224,6.39,Asp...,Antlia,43
218,HD 87477,6.42,K1III,Antlia,43
219,S Ant,6.43,A9V,Antlia,43
220,HD 82785,6.43,F2IV/V,Antlia,43
221,HD 84567,6.45,B0.5IIIn,Antlia,43
222,HD 83108,6.48,F5V,Antlia,43
223,HD 92987,7.0,G2/3V,Antlia,43
224,HD 93083,8.33,K2V,Antlia,43
225,T Ant,9.26,G5,Antlia,43
226,δ Ant B,9.65,F9Ve,Antlia,43
227,TWA 6,10.65,M0Ve,Antlia,43
228,WASP-66,11.6,F4,Antlia,43
229,TWA 7,11.73,M2Ve,Antlia,43
230,UX Ant,12.37,,Antlia,43
231,DEN 1048-3956,17.53,M9V,Antlia,43
232,XTE J0929-314,18.63,,Antlia,43
233,2MASS 0939-2448,,T8,Antlia,43
234,α Aps,3.83,K5III,Apus,43
235,γ Aps,3.86,K0IV SB,Apus,43
236,β Aps,4.23,K0III,Apus,43
237,δ1 Aps,4.68,M4-M5III,Apus,43
238,ζ Aps,4.76,K1III,Apus,43
239,η Aps,4.89,A2m...,Apus,43
240,ε Aps,5.06,B4V,Apus,43
241,δ2 Aps,5.27,K3III,Apus,43
242,R Aps,5.37,K4III,Apus,43
243,ι Aps,5.39,B8/B9Vn...,Apus,43
244,κ1 Aps,5.52,B1npe,Apus,43
245,HR 6135,5.5,K1IIICN...,Apus,43
246,HD 130458,5.59,G5III,Apus,43
247,κ2 Aps,5.64,B8IVe,Apus,43
248,θ Aps,5.69,M6.5III,Apus,43
249,HD 143346,5.7,K1IIICNII,Apus,43
250,NO Aps,5.83,M3III,Apus,43
251,HD 164712,5.86,K3III,Apus,43
252,HD 165259,5.86,F5V,Apus,43
253,HD 131425,5.92,G8II,Apus,43
254,HD 138867,5.95,B9V,Apus,43
255,HD 122862,6.02,G1V,Apus,43
256,HD 133981,6.02,B8/B9III,Apus,43
257,HD 126209,6.06,K0/K1III,Apus,43
258,HD 161988,6.08,K2III,Apus,43
259,HD 121439,6.09,B9III,Apus,43
260,HD 138289,6.19,K2II,Apus,43
261,HD 131551,6.2,B9V,Apus,43
262,HD 154556,6.21,K1IVCN...,Apus,43
263,HD 154972,6.24,A0V,Apus,43
264,HD 128294,6.34,B9III,Apus,43
265,HD 162337,6.37,K3/K4III,Apus,43
266,HD 137366,6.39,B3V,Apus,43
267,HD 141846,6.4,F3IV,Apus,43
268,HD 124639,6.42,B8V,Apus,43
269,HD 129899,6.44,Ap...,Apus,43
270,HD 152010,6.46,A5IV/V,Apus,43
271,HD 124099,6.48,K2IIp,Apus,43
272,HD 159558,6.48,G8III,Apus,43
273,HD 134606,6.85,G6IV,Apus,43
274,HD 137509,6.87,B8,Apus,43
275,HD 131664,8.13,G3V,Apus,43
276,HD 137388,8.71,K0/K1V,Apus,43
277,S Aps,9.6,C+,Apus,43
278,HD 138403,10.47,O8(f)ep,Apus,43
279,Z Aps,11.07,,Apus,43
280,L 19-2,13.75,DA4.1,Apus,43
281,β Aqr,2.9,G0Ib,Aquarius,43
282,α Aqr,2.95,G2Ib,Aquarius,43
283,δ Aqr,3.27,A3V,Aquarius,43
284,ζ1 Aqr,3.65,F3III-IV,Aquarius,43
285,88 Aqr,3.68,K1III,Aquarius,43
286,λ Aqr,3.73,M2IIIvar,Aquarius,43
287,ε Aqr,3.78,A1V,Aquarius,43
288,γ Aqr,3.86,A0V,Aquarius,43
289,98 Aqr,3.96,K0III,Aquarius,43
290,η Aqr,4.04,B9IV-Vn,Aquarius,43
291,τ2 Aqr,4.05,K5III,Aquarius,43
292,θ Aqr,4.17,G8III-IV,Aquarius,43
293,φ Aqr,4.22,M2III,Aquarius,43
294,ψ1 Aqr,4.24,K0III,Aquarius,43
295,ι Aqr,4.29,B8V,Aquarius,43
296,99 Aqr,4.38,K4III,Aquarius,43
297,ψ2 Aqr,4.41,B5Vn,Aquarius,43
298,ζ2 Aqr,4.42,F3V,Aquarius,43
299,3 Aqr,4.43,M3IIIvar,Aquarius,43
300,86 Aqr,4.48,G8III,Aquarius,43
301,ω2 Aqr,4.49,B9V,Aquarius,43
302,ν Aqr,4.5,G8III,Aquarius,43
303,ξ Aqr,4.68,A7V,Aquarius,43
304,66 Aqr,4.68,K3III,Aquarius,43
305,101 Aqr,4.7,A0V,Aquarius,43
306,89 Aqr,4.71,A3IV:,Aquarius,43
307,μ Aqr,4.73,A3m,Aquarius,43
308,ο Aqr,4.74,B7IVe,Aquarius,43
309,π Aqr,4.8,B1Ve,Aquarius,43
310,σ Aqr,4.82,A0IVs,Aquarius,43
311,104 Aqr A,4.82,G2Ib/II,Aquarius,43
312,χ Aqr,4.93,M3III,Aquarius,43
313,ω1 Aqr,4.97,A7IV,Aquarius,43
314,ψ3 Aqr,4.99,A0V,Aquarius,43
315,κ Aqr,5.04,K2III,Aquarius,43
316,25 Aqr,5.1,K0III,Aquarius,43
317,47 Aqr,5.12,K0III,Aquarius,43
318,1 Aqr,5.15,K1III,Aquarius,43
319,108 Aqr,5.17,Ap Si,Aquarius,43
320,94 Aqr B,5.19,K2V,Aquarius,43
321,97 Aqr,5.19,A3V,Aquarius,43
322,94 Aqr A,5.2,G6/G8IV,Aquarius,43
323,υ Aqr,5.21,F7V,Aquarius,43
324,68 Aqr,5.24,G8III,Aquarius,43
325,106 Aqr,5.24,B9V,Aquarius,43
326,258 G. Aqr,5.27,K3III,Aquarius,43
327,107 Aqr,5.28,F0III,Aquarius,43
328,32 Aqr,5.29,A5m,Aquarius,43
329,41 Aqr,5.33,K1III,Aquarius,43
330,42 Aqr,5.34,K1III,Aquarius,43
331,ρ Aqr,5.35,B8IIIMNp...,Aquarius,43
332,103 Aqr,5.36,K4/K5III,Aquarius,43
333,38 Aqr,5.43,B5III,Aquarius,43
334,83 Aqr,5.44,F2V,Aquarius,43
335,18 Aqr,5.48,F0V,Aquarius,43
336,21 Aqr,5.48,K4III,Aquarius,43
337,7 Aqr,5.49,K5III,Aquarius,43
338,12 Aqr B,7.31,A3V,Aquarius,43
339,49 Aqr,5.53,K0IIICN...,Aquarius,43
340,77 Aqr,5.53,K1III,Aquarius,43
341,5 Aqr,5.55,B9III,Aquarius,43
342,30 Aqr,5.55,K0III,Aquarius,43
343,53 Aqr B,5.55,G3V,Aquarius,43
344,217 G. Aqr,5.56,A3V,Aquarius,43
345,96 Aqr,5.56,F3IV,Aquarius,43
346,28 Aqr,5.6,K4III:,Aquarius,43
347,26 Aqr,5.66,K2III,Aquarius,43
348,HD 222093,5.66,K0III,Aquarius,43
349,τ1 Aqr,5.68,B9V,Aquarius,43
350,269 G. Aqr,5.7,K4III,Aquarius,43
351,19 Aqr,5.71,F0IV,Aquarius,43
352,94 G. Aqr,5.71,K2III,Aquarius,43
353,HD 216718,5.72,K0III-IV,Aquarius,43
354,264 G. Aqr,5.74,K0III,Aquarius,43
355,44 Aqr,5.75,G6III,Aquarius,43
356,50 Aqr,5.76,K0III,Aquarius,43
357,HD 223807,5.76,K0III,Aquarius,43
358,80 G. Aqr,5.79,G9III:,Aquarius,43
359,51 Aqr,5.79,A0V,Aquarius,43
360,35 Aqr,5.8,B2III,Aquarius,43
361,HD 211392,5.8,K3III:,Aquarius,43
362,74 Aqr,5.8,B8IV/V,Aquarius,43
363,15 Aqr,5.83,B5V,Aquarius,43
364,271 G. Aqr,5.85,K2III,Aquarius,43
365,11 G. Aqr,5.87,K1III,Aquarius,43
366,16 Aqr,5.87,G7III:,Aquarius,43
367,60 Aqr,5.88,G6III,Aquarius,43
368,12 Aqr A,5.89,G4III,Aquarius,43
369,255 G. Aqr,5.89,K0III,Aquarius,43
370,138 G. Aqr,5.92,G8Ib/II(w),Aquarius,43
371,268 G. Aqr,5.93,K0IV,Aquarius,43
372,202 G. Aqr,5.94,G5II/III,Aquarius,43
373,DV Aqr,5.95,A9V,Aquarius,43
374,246 G. Aqr,5.95,K4III,Aquarius,43
375,45 Aqr,5.96,K0III,Aquarius,43
376,225 G. Aqr,5.96,K2/K3III,Aquarius,43
377,162 G. Aqr,5.97,K1III,Aquarius,43
378,205 G. Aqr,5.97,K0III,Aquarius,43
379,HD 210434,5.98,K0III-IV,Aquarius,43
380,4 Aqr,5.99,F5IV-V,Aquarius,43
381,17 Aqr,5.99,M0III,Aquarius,43
382,39 Aqr,6.04,F0V,Aquarius,43
383,HD 199442,6.06,K2III,Aquarius,43
384,HD 223311,6.09,K4III,Aquarius,43
385,119 G. Aqr,6.1,F6/F7V,Aquarius,43
386,74 G. Aqr,6.12,F5V,Aquarius,43
387,198 G. Aqr,6.12,K3/K4III,Aquarius,43
388,HD 219279,6.13,K5III,Aquarius,43
389,HD 213429,6.15,F7V,Aquarius,43
390,155 G. Aqr,6.15,K0,Aquarius,43
391,HD 218061,6.15,K4III,Aquarius,43
392,128 G. Aqr,6.16,A5Vn,Aquarius,43
393,89 G. Aqr,6.17,A7V,Aquarius,43
394,126 G. Aqr,6.17,K0III,Aquarius,43
395,HD 220035,6.17,K0III,Aquarius,43
396,82 Aqr,6.18,M2III,Aquarius,43
397,234 G. Aqr,6.18,K0III,Aquarius,43
398,70 Aqr,6.19,A9III-IV,Aquarius,43
399,78 Aqr,6.2,K3III,Aquarius,43
400,238 G. Aqr,6.2,K0,Aquarius,43
401,11 Aqr,6.21,G1V,Aquarius,43
402,266 G. Aqr,6.21,K1/K2III,Aquarius,43
403,HD 205765,6.22,A2V,Aquarius,43
404,2 G. Aqr,6.23,B7IIIn,Aquarius,43
405,HD 214448,6.23,G1IV-V,Aquarius,43
406,81 Aqr,6.23,K5III,Aquarius,43
407,274 G. Aqr,6.23,A5V,Aquarius,43
408,HD 198272,6.24,M3,Aquarius,43
409,HD 200375,6.24,F5V,Aquarius,43
410,HD 208177,6.24,F5IV,Aquarius,43
411,98 G. Aqr,6.24,K2V,Aquarius,43
412,100 Aqr,6.24,F0V,Aquarius,43
413,HD 221148,6.26,K3IIIvar,Aquarius,43
414,49 G. Aqr,6.27,K0III,Aquarius,43
415,200 G. Aqr,6.27,A2V,Aquarius,43
416,7 G. Aqr,6.28,K2,Aquarius,43
417,100 G. Aqr,6.28,K0III,Aquarius,43
418,115 G. Aqr,6.28,A1Vnn,Aquarius,43
419,LP Aqr,6.28,M0,Aquarius,43
420,144 G. Aqr,6.29,A0V,Aquarius,43
421,197 G. Aqr,6.31,G9III,Aquarius,43
422,HD 214810,6.32,F6V,Aquarius,43
423,96 G. Aqr,6.33,F5IV,Aquarius,43
424,HD 219659,6.33,A1/A2IV/V,Aquarius,43
425,38 G. Aqr,6.34,G5,Aquarius,43
426,53 Aqr A,6.35,,Aquarius,43
427,113 G. Aqr,6.36,G8III,Aquarius,43
428,56 Aqr,6.36,B8II,Aquarius,43
429,196 G. Aqr,6.36,K4/K5III,Aquarius,43
430,R Aqr,6.36,M7IIIpev,Aquarius,43
431,189 G. Aqr,6.37,K5III,Aquarius,43
432,237 G. Aqr,6.37,G6/G8III,Aquarius,43
433,15 G. Aqr,6.38,G1V,Aquarius,43
434,HD 202259,6.38,M1III,Aquarius,43
435,20 Aqr,6.38,F0V,Aquarius,43
436,251 G. Aqr,6.38,K0III,Aquarius,43
437,29 Aqr,6.39,A0/1V + K1/2,Aquarius,43
438,121 G. Aqr,6.39,F7V,Aquarius,43
439,HD 211575,6.39,F3V,Aquarius,43
440,58 Aqr,6.39,A8III,Aquarius,43
441,61 Aqr,6.39,K4III,Aquarius,43
442,240 G. Aqr,6.39,K0,Aquarius,43
443,67 Aqr,6.4,A0Vn,Aquarius,43
444,248 G. Aqr,6.4,G5III:,Aquarius,43
445,57 G. Aqr,6.41,A1V,Aquarius,43
446,IZ Aqr,6.41,M3,Aquarius,43
447,152 G. Aqr,6.41,F2/F3IV/V,Aquarius,43
448,213 G. Aqr,6.43,A0V,Aquarius,43
449,236 G. Aqr,6.43,K0III,Aquarius,43
450,18 G. Aqr,6.44,F1IV,Aquarius,43
451,14 Aqr,6.45,M4III:,Aquarius,43
452,72 G. Aqr,6.45,A1IV,Aquarius,43
453,HD 215114,6.45,A5V,Aquarius,43
454,1 G. Aqr,6.46,K0,Aquarius,43
455,233 G. Aqr,6.46,F3IV/V,Aquarius,43
456,EW Aqr,6.47,Fm delta Del,Aquarius,43
457,55 G. Aqr,6.48,K0,Aquarius,43
458,34 G. Aqr,6.5,B6V,Aquarius,43
459,241 G. Aqr,6.5,F8V,Aquarius,43
460,10 Aqr,6.52,A5V,Aquarius,43
461,9 Aqr,6.55,G6/8III,Aquarius,43
462,HD 210277,6.63,G0V,Aquarius,43
463,37 Aqr,6.64,K0,Aquarius,43
464,24 Aqr,6.66,F7III,Aquarius,43
465,8 Aqr,6.6,A3/4 IV,Aquarius,43
466,85 Aqr,6.69,B9 V,Aquarius,43
467,75 Aqr,6.86,K2/K3III,Aquarius,43
468,54 Aqr,6.98,A3III/IV,Aquarius,43
469,36 Aqr,6.98,G8/K0III/IV,Aquarius,43
470,72 Aqr,7.0,K0 III,Aquarius,43
471,65 Aqr,7.04,K0 III,Aquarius,43
472,84 Aqr,7.08,G8III,Aquarius,43
473,87 Aqr,7.37,A0/1 IV,Aquarius,43
474,HD 212771,7.6,G8IV,Aquarius,43
475,HD 222582,7.7,G5,Aquarius,43
476,HD 220689,7.77,G3V,Aquarius,43
477,Gliese 884,7.87,K7V + M0-2V,Aquarius,43
478,HD 215152,8.13,K0,Aquarius,43
479,HD 221416,8.15,K0IV/V,Aquarius,43
480,HD 206610,8.34,K0III,Aquarius,43
481,Gliese 898,8.607,K6V,Aquarius,43
482,104 Aqr B,8.52,A6V:,Aquarius,43
483,WASP-69,9.87,K5,Aquarius,43
484,Gl 876,10.17,M3.5V,Aquarius,43
485,Gl 849,10.42,M3.5,Aquarius,43
486,WASP-70 A,10.79,G4,Aquarius,43
487,WASP-75,11.45,F9,Aquarius,43
488,AE Aqr,11.6,K2Ve + pec(e+cont),Aquarius,43
489,WASP-177,11.6,K2,Aquarius,43
490,WASP-47,11.9,G9V,Aquarius,43
491,EZ Aqr,12.18,M5.5Ve-M7e,Aquarius,43
492,WASP-6,12.4,G8,Aquarius,43
493,WASP-147,12.31,G4,Aquarius,43
494,LP 876-10,12.62,M4V,Aquarius,43
495,WASP-165,12.69,G6,Aquarius,43
496,BPS CS22892-0052,13.2,KIIvw,Aquarius,43
497,FO Aqr,13.5,,Aquarius,43
498,Altair,0.76,A7IV-V,Aquila,43
499,γ Aql,2.72,K3II,Aquila,43
500,ζ Aql,2.99,A0Vn,Aquila,43
501,θ Aql,3.24,B9.5III,Aquila,43
502,δ Aql,3.36,F0IV,Aquila,43
503,λ Aql,3.43,B9Vn,Aquila,43
504,β Aql,3.71,G8IVvar,Aquila,43
505,η Aql,3.87,F6Ib-G4Ib,Aquila,43
506,ε Aql,4.02,K2III,Aquila,43
507,12 Aql,4.02,K1IIIvar,Aquila,43
508,71 Aql,4.31,G8III SB,Aquila,43
509,ι Aql,4.36,B5III,Aquila,43
510,μ Aql,4.45,K3III,Aquila,43
511,ν Aql,4.64,F2Ib,Aquila,43
512,ξ Aql,4.722,G9IIIb,Aquila,43
513,69 Aql,4.91,K2III,Aquila,43
514,70 Aql,4.91,K5II,Aquila,43
515,κ Aql,4.93,B0.5III,Aquila,43
516,26 Aql,4.98,G8III-IV...,Aquila,43
517,4 Aql,5.02,B9V,Aquila,43
518,36 Aql,5.03,M1IIIvar,Aquila,43
519,18 Aql,5.07,B8III,Aquila,43
520,23 Aql,5.1,K2II-IIIvar,Aquila,43
521,37 Aql,5.12,G8III,Aquila,43
522,ο Aql,5.12,F8V,Aquila,43
523,21 Aql,5.14,B8II-IIIp(Hg:),Aquila,43
524,31 Aql,5.17,G8IVvar,Aquila,43
525,σ Aql,5.18,B3V + B3V,Aquila,43
526,19 Aql,5.23,F0III-IV,Aquila,43
527,11 Aql,5.27,F8V,Aquila,43
528,ω1 Aql,5.28,F0IV,Aquila,43
529,χ Aql A,5.28,F3V:+...,Aquila,43
530,φ Aql,5.28,A1IV,Aquila,43
531,132 G. Aql,5.3,G8III-IV,Aquila,43
532,FF Aql,5.33,F5Ia-F8Ia,Aquila,43
533,20 Aql,5.35,B3V,Aquila,43
534,51 Aql,5.38,F0V,Aquila,43
535,14 Aql,5.4,A1V,Aquila,43
536,15 Aql,5.4,K1III,Aquila,43
537,66 Aql,5.44,K5III,Aquila,43
538,42 Aql,5.45,F3IV,Aquila,43
539,27 Aql,5.46,B9III,Aquila,43
540,τ Aql,5.51,K0III,Aquila,43
541,28 Aql,5.53,F0III,Aquila,43
542,unnamed542,5.57,K0III,Aquila,43
543,62 Ser,5.58,G9III,Aquila,43
544,HD 180262,5.58,G8II-III,Aquila,43
545,22 Aql,5.59,A3IV,Aquila,43
546,58 Aql,5.6,A0III,Aquila,43
547,V1291 Aql,5.63,A5p(Sr-Cr-Eu),Aquila,43
548,45 Aql,5.64,A3IV,Aquila,43
549,HD 180555,5.65,B9.5V,Aquila,43
550,62 Aql,5.67,K4III,Aquila,43
551,π Aql B,5.7,,Aquila,43
552,57 Aql A,5.7,B7Vn,Aquila,43
553,14 Sge,5.73,B9MNp...,Aquila,43
554,π Aql,5.75,F2V:+...,Aquila,43
555,unnamed555,5.76,F6III,Aquila,43
556,56 Aql,5.76,K5III,Aquila,43
557,35 Aql,5.79,A0V,Aquila,43
558,42 G. Aql,5.81,G8III:,Aquila,43
